row_name,Date,Sample_Type,Location
GSF1058_TC_07,26-May-15,BD,B
GSF1058_TC_08,26-May-15,BD,B
GSF1058_TC_09,26-May-15,BD,B
GSF1058_TC_10,26-May-15,BK,B
GSF1058_TC_11,26-May-15,BK,B
GSF1058_TC_12,26-May-15,BK,B
GSF1058_TC_16,26-May-15,BD,C
GSF1058_TC_17,26-May-15,BD,C
GSF1058_TC_18,26-May-15,BD,C
GSF1058_TC_19,26-May-15,BK,C
GSF1058_TC_20,26-May-15,BK,C
GSF1058_TC_21,26-May-15,BK,C
GSF1058_TC_25,26-May-15,BD,D
GSF1058_TC_26,26-May-15,BD,D
GSF1058_TC_27,26-May-15,BD,D
GSF1058_TC_28,26-May-15,BK,D
GSF1058_TC_29,26-May-15,BK,D
GSF1058_TC_30,26-May-15,BK,D
TC_RSC_009_ACET,3/29/23,submerged,in-stream
TC_RSC_010_ACET,3/29/23,submerged,in-stream
TC_RSC_011_ACET,3/29/23,submerged,in-stream
TC_RSC_012_ACET,3/29/23,submerged,in-stream
TC_RSC_013_ACET,3/29/23,submerged,in-stream
TC_RSC_014_ACET,3/29/23,submerged,in-stream
TC_RSC_015_ACET,3/29/23,submerged,in-stream
TC_RSC_016_ACET,3/29/23,submerged,in-stream
TC_RSC_017_ACET,3/29/23,island,in-stream
TC_RSC_018_ACET,3/29/23,island,in-stream
TC_RSC_019_ACET,3/29/23,island,in-stream
TC_RSC_020_ACET,3/29/23,island,in-stream
TC_RSC_021_ACET,3/29/23,dry,dry
TC_RSC_022_ACET,3/29/23,dry,dry
TC_RSC_023_ACET,3/29/23,dry,dry
TC_RSC_024_ACET,3/29/23,dry,dry
TC_RSC_025_ACET,3/29/23,dry,dry
TC_RSC_026_ACET,3/29/23,dry,dry
TC_RSC_027_ACET,3/29/23,dry,dry
TC_RSC_028_ACET,3/29/23,dry,dry
TC_RSC_029_ACET,6/21/23,submerged,in-stream
TC_RSC_030_ACET,6/21/23,submerged,in-stream
TC_RSC_031_ACET,6/21/23,submerged,in-stream
TC_RSC_032_ACET,6/21/23,submerged,in-stream
TC_RSC_033_ACET,6/21/23,submerged,in-stream
TC_RSC_034_ACET,6/21/23,submerged,in-stream
TC_RSC_035_ACET,6/21/23,submerged,in-stream
TC_RSC_036_ACET,6/21/23,submerged,in-stream
TC_RSC_037_ACET,6/21/23,island,in-stream
TC_RSC_038_ACET,6/21/23,island,in-stream
TC_RSC_039_ACET,6/21/23,island,in-stream
TC_RSC_040_ACET,6/21/23,island,in-stream
TC_RSC_041_ACET,6/21/23,dry,dry
TC_RSC_042_ACET,6/21/23,dry,dry
TC_RSC_043_ACET,6/21/23,dry,dry
TC_RSC_044_ACET,6/21/23,dry,dry
TC_RSC_045_ACET,6/21/23,dry,dry
TC_RSC_046_ACET,6/21/23,dry,dry
TC_RSC_047_ACET,6/21/23,dry,dry
TC_RSC_048_ACET,6/21/23,dry,dry
TC_RSC_049_ACET,12/5/23,submerged,in-stream
TC_RSC_050_ACET,12/6/23,submerged,in-stream
TC_RSC_051_ACET,12/7/23,submerged,in-stream
TC_RSC_052_ACET,12/8/23,submerged,in-stream
TC_RSC_053_ACET,12/9/23,submerged,in-stream
TC_RSC_054_ACET,12/10/23,submerged,in-stream
TC_RSC_055_ACET,12/11/23,submerged,in-stream
TC_RSC_056_ACET,12/12/23,submerged,in-stream
TC_RSC_057_ACET,12/13/23,island,in-stream
TC_RSC_058_ACET,12/14/23,island,in-stream
TC_RSC_059_ACET,12/15/23,island,in-stream
TC_RSC_060_ACET,12/16/23,island,in-stream
TC_RSC_061_ACET,12/17/23,dry,dry
TC_RSC_062_ACET,12/18/23,dry,dry
TC_RSC_063_ACET,12/19/23,dry,dry
TC_RSC_064_ACET,12/20/23,dry,dry
TC_RSC_065_ACET,12/21/23,dry,dry
TC_RSC_066_ACET,12/22/23,dry,dry
TC_RSC_067_ACET,12/23/23,dry,dry
TC_RSC_068_ACET,12/24/23,dry,dry
